K=4,weight=4.000000,tolerance=0.000010, penalty=10,training time : 21.507457, testing time: 0.081782 
K=4,weight=4.000000,tolerance=0.000010, penalty=20,training time : 17.778434, testing time: 0.082779 
K=4,weight=4.000000,tolerance=0.000010, penalty=30,training time : 18.003960, testing time: 0.081781 
K=4,weight=4.000000,tolerance=0.000010, penalty=40,training time : 21.535382, testing time: 0.082779 
K=4,weight=6.000000,tolerance=0.100000, penalty=1,training time : 19.807006, testing time: 0.081782 
K=4,weight=6.000000,tolerance=0.100000, penalty=10,training time : 21.459585, testing time: 0.082778 
K=4,weight=6.000000,tolerance=0.100000, penalty=20,training time : 22.094885, testing time: 0.198469 
K=4,weight=6.000000,tolerance=0.100000, penalty=30,training time : 21.417697, testing time: 0.081782 
K=4,weight=6.000000,tolerance=0.100000, penalty=40,training time : 17.705630, testing time: 0.083776 
K=4,weight=6.000000,tolerance=0.001000, penalty=1,training time : 20.935985, testing time: 0.081782 
K=4,weight=6.000000,tolerance=0.001000, penalty=10,training time : 17.601906, testing time: 0.103723 
K=4,weight=6.000000,tolerance=0.001000, penalty=20,training time : 21.806656, testing time: 0.104721 
K=4,weight=6.000000,tolerance=0.001000, penalty=30,training time : 17.954961, testing time: 0.085771 
K=4,weight=6.000000,tolerance=0.001000, penalty=40,training time : 22.075935, testing time: 0.081782 
K=4,weight=6.000000,tolerance=0.000010, penalty=1,training time : 21.148417, testing time: 0.082779 
K=4,weight=6.000000,tolerance=0.000010, penalty=10,training time : 20.922022, testing time: 0.081782 
K=4,weight=6.000000,tolerance=0.000010, penalty=20,training time : 18.154428, testing time: 0.084773 
K=4,weight=6.000000,tolerance=0.000010, penalty=30,training time : 17.413411, testing time: 0.081782 
K=4,weight=6.000000,tolerance=0.000010, penalty=40,training time : 21.291952, testing time: 0.081782 
K=4,weight=8.000000,tolerance=0.100000, penalty=1,training time : 18.958277, testing time: 0.081781 
K=4,weight=8.000000,tolerance=0.100000, penalty=10,training time : 18.374838, testing time: 0.083776 
K=4,weight=8.000000,tolerance=0.100000, penalty=20,training time : 17.883154, testing time: 0.083776 
K=4,weight=8.000000,tolerance=0.100000, penalty=30,training time : 17.807356, testing time: 0.080785 
K=4,weight=8.000000,tolerance=0.100000, penalty=40,training time : 17.856226, testing time: 0.082778 
K=4,weight=8.000000,tolerance=0.001000, penalty=1,training time : 20.660722, testing time: 0.082780 
